Trope Name,Trope Description,Text Length
Screams Like a Little Girl, No it didnt come from the TVRose Theyre rats Dozens of rats vacuumpacked rats The Doctor And you decided to scream Mickey It took me by surprise The Doctor Like a little girl Mickey It was dark I was covered in rats The Doctor Nine maybe ten years old Im seeing pigtails frilly skirt— Doctor Who School ReunionAs a tough masculine fighter you never cry never wince at a hit and talk in a manly baritone But its amazing how a Groin Attack little needle or garter snake can make your voice rise four octaves into a threeyearolds scream It seems inherently funny to see this grown man emit a girly scream This trope is usually Played for Laughs as it is hard to take the image of a man who Screams Like A Little Girl seriously This is sometimes associated with a Camp Gay or NonAction GuyComedybased logic dictates that the more butch the guy is or the more he runs his mouth about being tough or the lesser the actual danger is the funnier it is when he screams like a girlSee Also Gendered Insult The Scream Screaming Woman Screaming at Squick May overlap with Eek a Mouse and Cower Power,1088
Wouldnt Hurt a Child,His employers thought he was the only one who could kill a kid They were wrongNo women no kids— Léon The ProfessionalMany adult viewers and writers are upset about kids being harmed Kid viewers arent but then kids arent the ones doing the writing are they As a result many characters on TV Wouldnt Hurt a ChildThis is often done simply by not showing kids at all in action and suspense shows but sometimes its rather conspicuous when characters seemingly go out of their way to not hurt kids or circumstances happen to conveniently align themselves so that kids dont get hurt For example a slasher movie where the slasher just happens to not encounter children in hiding or the kids manage to be rescued just in time while the adults and teens get killed Its also pretty common that when Even Evil Has Standards not harming children is one of themThis does not mean that the act cannot be referred to in the story Youll hear characters in plenty of films and TV shows talking about the antagonist harming or killing children That is much different from actually showing it onscreenIn fact when this trope does get averted and children do get harmed it can often be shocking for the audienceSee Also Wouldnt Hit a Girl for the femalespecific version of this trope and You Wouldnt Hit a Guy with Glasses for the now much less common standard of never hitting someone whos wearing glasses See Friend to All Children for those adults who not only dont hurt kids but will actively protect them even if the adults in question are clearly evil For video games see Hide Your Children where children arent even portrayed so as to avoid the implications that they could be hurt For a more specific form of Wouldnt Hurt a Child in which very young children are shielded from danger by the plot due to societys squeamishness about hurting babies see Improbable Infant SurvivalA common subversion is when a character who goes by this motto has to face a Creepy Child a Child Soldier or worse an Enfant TerriblePlayed with in the cases of Villainous Parental Instinct when it isnt that the person wouldnt hurt a child but that they wont hurt their childMay be a form of Heroic VowOddly enough its also Truth in Television as many gangs such as the Mexican Mafia brutally murder their members that hurt children likewise La eMes rules of conduct prohibit members from being child killers or child molesters This even extends to prison where inmates or even prisonbased gangs that welcome robbers and murderers into their fold will not tolerate someone who hurts a kid In fact killing one of these people often results in being wellliked by the other inmates people imprisoned for child molestation are often put into solitary confinement not as punishment but for their own protection due to a combination of this trope and Rape Is a Special Kind of Evil Of course this can also be seen as a Moral Myopia as there have been criminal gangs especially Mexican drug cartels and terrorist organizations such as ISIS and AlQaeda that use children for prostitution drug trafficking assassinations and other criminal activities mainly because children are the least likely people who would commit criminal acts thus catching other criminal gangs military and police forces offguardCan overlap with Pragmatic Villainy as while a villain may have no personal qualms with harming a child they are well aware most of the world does Harming a child would only complicate their plans by creating more enemies than they may be equipped to handle andor alienate potential and current alliesMay cross paths with What Measure Is a NonHuman where a character may question if killing a creaturemachine with the age or mentality of a child would be the same as killing a human childContrast Child Hater and Would Hurt a Child,3790
BlackandGray Morality,When your bad guy is this bad almost anyone can become a good guyMegan Wait Youre my hero Wade No no no no no That I aint narrating Nope never will be Im just a bad guy who gets paid to fuck up worse guys— Deadpool 2016It is often found in fictional media that the protagonistantagonist conflict takes the form of the shining knight who smells of flowers and has holy light shining from his every orifice versus the very fount of all evil who Eats Babies as a hobby and Kicks Dogs as a professionIn an effort to portray realistic conflicts writers often introduce flaws in their heroes and redeeming qualities in their villainsThese can be deeply unsatisfying Moviegoers want a hero to celebrate and a villain to vilify But if both sides have flaws and redeeming qualities how do they know which is which How can a writer create such a satisfying world without making it all impossibly unrealisticIts simple leave the job halfdone Only the white gets removed leaving behind a Crapsack World populated by people who each have their own forms of imperfection Without the option of becoming the saint the world needs newcomers of this world are stuck between the choice of supervillainy and faulty heroism This is the essence of Black and Gray Morality where the morals of characters can range from somewhat good to pure evilObviously the heroes of such settings tend to be antiheroes In such a world any characters who appear to be good in any way will eventually be revealed as a Knight Templar in disguise a Dark Messiah inches from the edge or a deeply flawed AntiHero And if there are any genuinely good characters on the show theyll quite likely either come around to The Dark Side die horribly remain a figure of perpetual mockery or if very lucky grow a protective shell of cynicismA good litmus test for this trope is as follows Do the protagonists regularly get away with ruthless or amoral actions Are they still unquestionably painted as being on the right side By virtue of the other side being worse Whether the author is successful or not does not matterIf so its a classic case of Black and Gray MoralityAs always it is important to remember that Tropes Are Tools It can be taken to an extreme where the choices are between Pure Evil and Good Because the Writers Say So This can make the protagonist difficult to sympathize with and lead to Too Bleak Stopped CaringAn alternative method would be to have one side be of A Lighter Shade of Grey against the black so while the heroes are flawed and may have to do some questionable things for the greater good they wouldnt try to indulge into unnecessary morally questionable actions Beware though as this could lead to a downplayed form of BlackandWhite MoralityFor serious cases where both sides are so black there are no more shades of grey among them anymore see Evil Versus EvilSee also Shades of Conflict GreyandGray Morality BlackandWhite Morality Crapsack World Sliding Scale of Idealism Versus Cynicism The inverse is But Not Too Evil Contrast with WhiteandGrey Morality where everyone has some nobility to them and Designated Hero which is what happens when the story portrays a side as White when the audience sees them as Gray or Black Compare World of Jerkass if both sides are assholesIf there are true heroes around along with the kinda bad and very bad characters described above its The Good the Bad and the Evil Coming from the opposite side is A Lighter Shade of Black where an Evil Versus Evil conflict is left with one mildly sympathetic side by not making them as unrelentingly evil as their opponents while both factors are still anywhere from rather consistently dangerous to plain evil A heightened version of this is Sympathetic Villain Despicable Villain where the mildy sympathetic becomes very sympathetic and may be capable of redemption especially in comparison to the unambiguously evil,3878
Forgotten Birthday, HoorayRemember his birthday Twerp is lucky I remember his name— Heather Total Drama Awwwwww DrumhellerSo its a characters birthday They hoped that others would notice They have known each other for quite a while how could they forgetOh wait they did forget Even if the birthday person reminded them its all for naught It may take a bit for the companions to get over the guilt while the birthday person is guaranteed not to take it wellAlternatively the birthday person may be the forgetful one instead usually either showing how selfless they are or that they never really celebrated their birthday beforeCompare Doesnt Know Their Own Birthday for when they dont know their birthday in the first place and Forgotten Anniversary for the wedding day variant If the birthday wasnt truly forgotten after all and the other characters threw a Surprise Party its a NotSoForgotten Birthday If everyone knew about the birthday and it had been forgotten by the one whos celebrating it then its Forgot Their Own Birthday Perennially Overshadowed Birthday is related however the birthday need not be forgotten just barely acknowledged or celebrated due to it sharing a date with an annual event or holiday,1195
Artistic License  Space,Captain weve been attacked by some sort of force ray Gah Gyah Space air is flooding in Right Goggles on— The Planet from Outer Space The SimpsonsThanks largely to Science Fiction space is probably one of the most inaccurately portrayed things in modern media to the extent that complete falsehoods are widely accepted as factEarlier media can get a pass since they were made in a time when there hadnt been much research on the subject yet Modern portrayals of space however still havent changed much from the rockfilled noisy place where an unprotected human can instantly explode into clouds of ice However some of the modern misrepresentations can be put down to the Rule of Cool Rule of Drama Acceptable Breaks from Reality or simply the belief that audiences wouldnt accept it any other way,795
Funny Background Event,What kind of an emergency Whats the rush to get off the planet all of a suddennote KAY KAAAAY We cut to Avengers Mansion where all the superheroes that were not abducted are gathering got a list are already figuring out who is missing Theres a weird little drawing in the bottom left corner by Ron Lim where Iceman trips Speedball who apparently plants his face between SheHulks boobs Is that something that Jim Starlin wrote into this cosmic script Or was Ron Lim getting bored and was just like I gotta draw this for me— ComicTropes Jim Starlins Great and NotSoGreat Cosmic Creations at MarvelThe humorous counterpart to the Meaningful Background Event and sometimes overlaps with Distant Reaction ShotSometimes a scene contains something funny going on in the background Very often it is used during a conversation and if you are paying too much attention to the foreground you may even miss the scene especially if as is often the case the characters are looking away from it The event can contain simple slapstick humor or be an inside gagIt doesnt have to be subtle sometimes it is obvious while the conversation is unimportant The important thing is that it is played in the background and is at least somewhat funny or coolDespite the name sometimes this can actually be in the foreground or momentarily panned over but the important point is that the audience has their attention directed elsewhere,1407
Misplaced Retribution,Also known as Displaced AggressionThe Shield who claims to fight injustice ambushes Kane and Daniel Bryan who are faces Josh Mathews What injustice did Daniel Bryan do here tonight John John Bradshaw Layfield Hes associated with Kane thats enough— Friday Night SmackDownSome retaliation exceeds whats being retaliated to in its severity But some retaliation isnt even along the same line its directed at those who cant reasonably be blamed for what youre retaliating for except according to exceedingly shaky justifications or even no real justification at all or the culprit stole the victims identity Whether it is worse than what is retaliated to or milder the point remains that it is still unjustly directed at the wrong targetsClosely related to Misblamed Can result in a Misdirected Outburst A Sister Trope to Disproportionate Retribution and Revenge by Proxy and so more often than not Moral Event Horizonworthy Similar to Cartesian Karma Guilt by Association Gag and Karmic Misfire I Will Punish Your Friend for Your Failure is when one uses this trope as a threat Abusive Parents and Domestic Abuse may apply to this trope Its one of the many ways in which a Cycle of Revenge can get ugly Avenging the Villain is also related since The Hero or whoever killed the villain is usually either blameless or justified Yet another related trope is Bewildering Punishment which is what this trope probably feels like from the victims POV The Chain of Harm can result if the victim goes on to inflict this on somebody else The ButtMonkey or Cosmic Plaything is often on the receiving end of this when its Played for Laughs For cases where someone deliberately ensures this happens see FrameUp and The Scapegoat Not to be confused with Never My Fault which CAN through the aforementioned FrameUp and The Scapegoat cause Misplaced RetributionTruth in Television of course From a psychoanalytic point of view this is called displacement and occurs when someone who feels under attack emotionally retaliates against someone who is a better victim than the aggressor — for some reason it is more viable to emotionally attack this new target than the aggressor Blame the Paramour often overlaps with this in that trope regardless of how a cheating lover behaved its the new lover who is blamed regardless of the circumstances that caused around the affairSee Murder by Mistake when this trope is taken to the extreme,2411
So Unfunny Its Funny,I cant tell if this is the worlds worst joke or the worlds best riddle— Seanbaby Cracked 4 Geek Humor Books by Authors Who Understand NeitherTheres nothing like a good joke And the humor these characters are known for is nothing like a good jokeA character or show whose jokes are so bad and whose sense of humor is so trite corny and childish that — paradoxically — you cant help but laugh at it Usually includes some examples of Dont Explain the Joke In English slang this type of joke is commonly called a groaner or dad joke the latter because jokes like this are the bread and butter of a Bumbling Dads awkward attempts at humournote More specifically dad joke can also refer to an irritating sort of inverted Whos on First puns For example Dad Im hungry Hi Hungry Im Dad Other languages also have words for this phenomenon for instance in Indonesian a joke thats So Unfunny Its Funny is called a jayus When the effect was unintentional its like a Narm moment but for something that was supposed to be funnyOften this will be Played for Laughs when a show includes a wisecracking character whose jokes always fit this trope or a horrible comedy as a Show Within a Show In these cases its a form of Stylistic SuckHowever when an entire show fits this trope its probably unintentional Note that this is rare its said that while most genres badly done become comedies bad drama bad scifi bad horror etc can all become targets of audience mockery or So Bad Its Good but a bad comedy by definition fails at being funny Failing so hard you succeed is a rare gift A common variety is to have something overloaded with so many bad funnies at the end you are laughing for some reasonClosely related to and often a component of So Bad Its Good Often related to Cannot Tell a Joke Compare and contrast AntiHumor where the conventions of comedy are defied on purpose Not to be confused with The Comically Serious formerly known as The Unfunny Sort of like Crosses the Line Twice only with lack of humor instead of offensiveness,2020
Never My Fault,Gus In these situations we must emulate the Prime Minister Dave What cock it up and then blame someone else— Drop the Dead Donkey Pilot episodeIts never easy to admit that we are responsible for our actions and deserve to be blamed  in fact for some people its one of if not the most difficult things to do  and it is often far more comfortable to play the Blame Game and convince ourselves that it is the fault of another even though this is the cowards way out We may blame others even when we know deep down in our hearts that it is our fault Due to the Rule of Drama fictional characters will blame themselves for things going south most of the time but there are some cases where the character who really is to blame will blame everyone else instead Common variations include The person stuck with the blame fails to defend himself perhaps out of sheer dumbfoundedness at the other persons gall The blameshifter offers an absurdly flimsy pretext for ducking responsibility The character does this all the time and consistently gets away with it The person cant comprehend what they did is wrong because of how innocently they did it The person genuinely believes that they acted in an acceptable manner in response to anothers unacceptable provocation and genuinely believes that others are wrong for feeling angry with them The person thinks theyre the last sane person in a world of unreasonable idiots therefore anyone who blames them is wrong The person thinks theyre morally correct or righteous and thus it is impossible for them to be at fault because they did the right thing even when it wasnt The person never outright denies responsibility but instead dodges the issue entirely usually via a bunch of platitudes about becoming a better person without ever actually taking direct responsibility for their behaviorSubTrope of Psychological Projection This is a frequent component of Comedic Sociopathy and Revenge Myopia The diametric opposite of Its All My Fault or At Least I Admit It A character prone to this will likely try Glad I Thought of It too Compare Hypocritical Humor which can involve a similar blindness to ones own flaws and Implausible Deniability See also Its All About Me and Narcissist which are key reasons why a character would fall into any of the above Also compare Backhanded Apology an insult disguised as an apology where the perpetrator attempts to shift blame onto their victim eg I am sorry you were so stupid as to fall for my deception If the character doesnt blame others but isnt sorry for what shes done see The Unapologetic however the two tropes can overlap generally when the character says I Did What I Had to Do This trope is the defining characteristic of The Unfair Sex Can overlap with Everything Is Racist when the person blames their failings which are clearly their own fault on societal prejudice and hatred towards people of their racegendersexual orientationtaste in musicwhatever If the person is upset that their victims dared to fight back she is likely Feeling Oppressed by Their Existence A rebuttal to this trope would involve Stopping the Blame GameThe formal term for this is selfserving bias and it is a key personality trait of both The Sociopath and the Narcissist Related cognitive biases include the defensive attribution hypothesis as well as the fundamental and ultimate attribution errors Even in the average person the brain is designed more for selfdefensiveness and maintaining its own comfort than for strict accuracy explaining why it can be so difficult for people to accept they made a mistake or change their opinions even in the face of clear evidenceCompare with Mama Didnt Raise No Criminal for parents that try to shift blame off of their kids rather than themselves Subtrope of the Sin of PrideNOTE Please remember that examples of people blaming others for something thats clearly the fault of someone else ie a third party is not an example of this trope thats Misplaced Retribution This trope is only for when people attempt to shift the blame off of themselves,4058
AxCrazy                    aka Axe Crazy,Do you like Huey Lewis and the NewsLizzie Borden took an axe and gave her mother forty whacks And when he saw what she had done she gave her father fortyone— American Nursery Rhyme note For the record Ms Borden was acquitted but never lived it down There were also far less whacks in the actual murdersAn axcrazy character is someone who is psychologically unstablenote Unstable is an excessively mild term here because it implies that some residual stability may still be present Being AxCrazy usually implies that almost the entire substructure of sanity is gone and presents a clear and present danger to others They are capable of extreme violence whether carried out with a Slasher Smile insane laughter speaking in a Creepy Monotone andor WordSalad Horror or out and out murderous rage and with no way of knowing just what will set them off this makes them extremely frightening to deal with This mainly differentiates them from other eccentric characters who may themselves be obsessive weird or seemingly crazy but use this condition hand in hand with doing good or at least not being in the way However some formerly established heroes can go through an episode of axcraziness and still retain their heroic mantleDespite the title axcrazies arent limited to wielding axes Any instrument of death will do from knives or straight razors to swords to chainsaws and beyond A good number of other axcrazies are also TriggerHappy preferring either Hand Cannons that blow really big holes in people or weapons that allow them to kill lots of people with reckless abandon such as any automatic weapon And for the truly disturbed for whom the above just wont do a heaping helping of high explosives or a goodsized flamethrower will do quite nicely Sometimes they dont even need weapons and just use magic spells or other powers if they have them There are also plenty who are just as happy to beat people into an unrecognizable pulplike mass with their bare hands Less outwardly violent and unstable examples are likely to be the vindictive and vengeful sort any sort of petty slight real or imagined is likely to trigger a Disproportionate Retribution and these types tend to be the more dangerous variety due to the lengths to which they will go to carry out their revenge and make the party who attracted their wrath sufferIt is rare for a truly AxCrazy character to be a protagonist largely due to it being a SubTrope of Obviously Evil and most AxCrazy characters usually are Obviously Evil Theyre common as the antagonists in Superhero and Crime and Punishment Series often serving as a Psycho for Hire If they are a protagonist they will most certainly be a Nominal Hero Villain Protagonist andor Heroic Comedic Sociopath The difference between them and Blood Knight is this trope is all about killing while the Blood Knight is only interested in fighting There is of course plenty of room for overlapSee also Insane Equals Violent The Berserker The Butcher The Dreaded Mad Bomber Cute and Psycho Blood Knight Psycho for Hire Yandere The Sociopath Mad Doctor Pyromaniac HairTrigger Temper Colonel Kilgore General Ripper Insane Admiral Sociopathic Soldier Holy Is Not Safe Psychopathic Manchild and Jerkass Gods Compare and contrast Mama Bear Papa Wolf Big Brother Instinct and Violently Protective Girlfriend who may be capable of temporary AxCraziness when their kids younger siblings or mate are under threat but are often played sympathetically Compare HotBlooded in which the character may have such tendencies but in a less threatening way even if both could overlapContrast Suicidal Pacifism when a character never ever resorts to violence even if it is necessary and Extreme Doormat when a character is a complete pushover unable to fight backThe canonical Character Alignment for most AxCrazy characters is Chaotic or Neutral Evil though a couple of Chaotic Neutral examples exist The AxCrazy characters twistedness may land them comfortably in Stupid Evil or even Chaotic Stupid in more satirical works Sometimes The Unfettered depending on whether they feel freed or enslaved by their bloodlust At least one or more examples are an AntiVillain where you kinda feel bad for them since their enemies pushed them too far with actions such as killing their family their friends or even the enemies trying to kill them making them go AxCrazy — they may be a Woobie Destroyer of Worlds The Heroic Comedic Sociopath is almost always AxCrazy as their inability to control their madness is a good way of having a Bloody Hilarious character who is still innocent enough to be a little sympatheticIts very common to be Played for Drama usually as either the Big Bad or The Dragon to the Big Bad It is far less common but not unheard of for it to be Played for Laughs this is most likely to be seen in a Sadist Show especially one featuring a lot of Comedic Sociopathy andor heavy Satire with it appearing most often in humorous comic strips Anime Web Original works and the more adultoriented Western Animation of the Renaissance and Millennium periodsThis page is about violent crazy people not people whose preferred weapon is an axe,5140
Stepford Smiler,When you deal with toothless laws for a living it can be harder to smileHe always smiled and he always chuckled but inside he did not notice anyone did not care it was his body that smiled nodded and shook hands Nothing touched his mind which remained remote— Philip K Dick UbikEveryone loves Alice Who wouldnt Shes practically perfect in every way Shes bright chipper and pleasant under all circumstances Youve never seen her annoyed let alone angry She always has a kind word for anyone and she treats everyone like her best friendOf course its all just an actThe Stepford Smiler is a dark twist on the Purity Sue — a character obsessed with projecting an image of wholesome happiness in order to be accepted Tragically enough theyd probably accept her for who she is regardless of her selfimposed Masquerade Her flawlessly crafted facade hides a real person thats usually breaking like so much fine china in order to keep up the deceptionThese are the three main types of Stepford Smiler Depressed The character seems to be happy cheerful is always smiling and seems to live a perfect life  but inside they are melancholic if not outright depressed Empty The character seems to be kind and cheerful but is actually motiveless and hollow Unstable The smile hides mental instability and even madnessDepressed heroines or show costars that are Stepford Smilers can either be played straight or played to gain viewer sympathy as they struggle to live up to their own impossible ideals Villainesses like the Evil Matriarch who are Stepford Smilers are usually played one of two ways it can either humanize them much like the heroine or it can accentuate their evil by contrasting it with their soullessness Feminine pronouns are used throughout this trope because the Stepford Smiler is a traditionally female role though there are many male examples too Sometimes theyre even a coupleThe Emptys mask itself can also hide a terrible secret there is nothing behind it The void is either a result of using up so much energy pretending to be normal that nothing is left over or because there was nothing there to begin with The tropenaming Stepford Wives fall into this second category naturallyScared yet It gets worseThere is a very good chance that she is dosed up on prescription tranquilizers or antidepressants Valium Xanax andor Prozac are staple favorites—or good old fashioned overthecounter alcohol—often to the point of dependence With or without drugs if a Stepford Smiler smiles long enough without cracking she can become the mask and turn Unstable Some Stepford Smilers buy into the dead Barbie smiles to such a degree that they care for nothing other than maintaining appearances having money making sure their hair is just right and improving their social standing all of which are pursued with equally Social Darwinistic means Essentially they become the materialist equivalent of the Nietzsche Wannabe Unstable characters sometimes have another kind of smile behind the fake oneNot every Housewife is a Stepford Smiler obviously They often encounter one as a nemesis instead in a postHigh School example of the Alpha BitchScience does add some credence to the trope as those who default to a halfsmile expression tend to report a generally better mood regardless of any outside factor However this does not extend to a full on fake demiSlasher Smile suggesting that even the persons brain chemistry isnt fooled by the facade Compare The UnSmileThe Stepford Smiler gets her name as does the Stepford Suburbia in which she lives from the book and later movies The Stepford Wives about a village whose men conspire to create the Barbie perfect wife all with similar eerie smilesSee also such related tropes as Beneath the Mask Bitch in Sheeps Clothing Broken Ace Broken Hero Comedic Sociopathy Evil All Along Evil Matriarch Extreme Doormat The Fake Cutie Faux Affably Evil Happiness Is Mandatory I Just Want to Be Normal Masquerade Sad Clown Think Happy Thoughts Uncanny Valley Girl Yandere and the darker variants of Minnesota Nice The Crapsaccharine World is basically this trope upscaled to include the entire societyContrast Straw Nihilist The Stoic The Pollyanna Yamato Nadeshiko Drama Queen,4207
Abandoned Catchphrase,Character Catchphrases are a great and simple way to help a characters image But sometimes catchphrases dont stick Perhaps the writers were experimenting with one early on but eventually decided against it Or perhaps a catchphrase was done to death and is no longer funny Or sometimes a character simply evolves and the catchphrase no longer fits the character,360
Weird Moon,Fly me to one of these moons note L  R top to bottom Moons from Fairy Tail Kingdom Hearts Super Mario World 2 Yoshis Island and Assassination Classroommaking the moon fucked up is the first step of any good worldbuilding the moon is normal in your story just a normal moon amateur mistake— Shen TwitterThe Moon Our planets only natural companion the brightest object in the night sky worshipped as a deity by countless cultures inspiration of poets lovers lunatics and werewolvesDepictions of the moon in fiction vary and it can behave rather  oddlySize and shape The crescent moon is often depicted in a stylized unrealistic manner with the horns of the crescent extending an average of threequarters of a circle In Real Life they always end at opposite ends of a diameter Likewise the inner dark part of the crescent is often circular in shape which in Real Life only occurs if something eclipses the moon The crescent can sometimes point incorrectly for the hemisphere its observed from ie contrary to the position of the sun Sometimes as seen in the picture above it may actually be a hollowed crescent shape to begin with There can be objects such as stars visible inside the crescent in Real Life this can only occur if theres something on the moons surface emitting light or if something else is between the moon and viewer Or you know if something shot a huge chunk out of it If the characters actually realize this it usually becomes an important plot pointLunar phases The moon is never shown during its gibbous more than halffull phase and rarely shown in its half phase — its always either a crescent moon or full moon The only times these other phases are shown is if the lunar cycle plays an actual role in the setting eg a gameplay mechanic in Video Games and even then these other phases are little more than leadup to the next full moon The tips of the crescent moon are often seen pointing down In Real Life this happens only during daytime The phase may change noticeably within a single night and without the equally dramatic change in position that this would normally requireEclipses and phenomena The lunar phase affects peoples moods way more than is really likely Presuming the moon and the atmosphere are even vaguely like Earths no part of the moon can be darker than the surrounding sky The sky is lightblueinfrontofblackspace therefore even the blackest parts of the moon will be lightblueinfrontofblackmoonSubtropes Bad Moon Rising The moon looks weird because bad things are going to happen Cheesy Moon The moon is made of cheese Deface of the Moon The moon has actually been physically altered to change its appearance Gigantic Moon The moon appears larger in the sky than it really is The Man in the Moon The moon has a face on it Moon Rabbit The moon has a rabbit on itFor more moon tropes see Index on the Moon For more on eclipses see Total Eclipse of the Plot,2896
What Exactly Is His Job,But that monster messed with the wrong crew With Candys spirit Grendas strength Dippers brains and uh Soos here well get five hundred pieces of candy and have fun doing it too—Mabel Pines Gravity Falls SummerweenOften especially in media with a large ensemble cast there is one character whose function in terms of his internal purpose within the cast is a bit fuzzy The details of this role are left purposefully ambiguous Sometimes the general nature of the characters role is quite evident for example the character might be big intimidating and good in a fight but this naturally raises the question of just why the group needs someone who is big intimidating and good in a fightThis is often lampshaded by someone unfamiliar with the group and their adventures pointedly asking What exactly is his job anyway When the question is Played for Laughs the answer the newcomer gets is almost always something absurd This can typically be paired with The Main Characters Do Everything since there are usually recurring characters whose purpose is ambiguous and the main characters can easily function without them Its also common for an everyman because the lack of specific role allows more of us to sympathize with the characterRemember this Trope is about a persons undefined or unsuitable role among the main team not about how a person earns his keep between episodesCompare the Omnidisciplinary Scientist who has a PhD in Everythingology and awesomeology rather than merely having to be everything and awesome and Open Heart Dentistry for medical professionals who dont have a specialty,1591
Sitcom ArchNemesis,Hello NewmanYamcha Look I dont have your mutuallysustained hate boner for Vegeta OK Tien I dont have a hate boner for him Yamcha Dude its a pretty hateful boner— Dragon Ball Z AbridgedThe Sitcom ArchNemesis is an alternative to the traditional ArchEnemy generally Played for Laughs Basically they could be considered the protagonists favorite enemy They usually are not dangerous or evil but even if they are the contrast between their cruelty and petty bickering has comedy value of its own They are defined primarily by how they just rub a character from the show entirely the wrong way and the two will never miss an opportunity to have at each other with Volleying Insults or smallminded pranks Its possible they are very annoying or a straightup Nice Guy but act as a foil to a main character that inspires rage upon hearing their name Often the two are kindred spirits and dont realize it these rivals are much more likely to have an Enemy Mine plot than dramatic rivals Since generally there isnt much at stake in that rivalry it will usually revolve around insignificant everyday matters filled with comedic momentsThe Sitcom Arch Nemesis is usually just a recurring character because if they were part of the main cast then The Protagonist would do nothing but fight with them Indeed often they are oblivious to this rivalry or never seen in person further defining them entirely by how the main character views themNote that these arent necessarily unique to sitcoms and other stories  including more comedic action stories  can have a character who fills this role sometimes even if there is a character who fulfils the role of an actual ArchEnemy In the more lighthearted action shows particularly in certain cartoons and kid shows sometimes the actual ArchEnemy will act like a Sitcom ArchNemesis when the story or comedy demands it alternating between attempting to Take Over the World one day trying to wreck the heros birthday party the next and maybe even GoKarting with BowserCompare with The Rival and Vitriolic Best Buds Often used with Comically Lopsided Rivalry,2085
Boring Vacation Slideshow,Someone has just come back from holiday with photographs of their trip abroad They decide to show them as a slideshow to their family and friends thinking that they will enjoy itSo why arent theyTheyre looking away Theyre yawning Theyre even trying to make excuses to leave the presentation All of this is a result of a Boring Vacation SlideshowThis trope is usually used in comedic works due to the comedy inherent in someone sitting down making an awful slideshow and then forcing other people to watch that awful slideshow It is generally used to show that the character is such a boring person that it makes their holidays boring as well May also be used to show that the person has had Incredibly Lame Fun The presenter will usually say And this is at the beginning of each slide to make the presentation extra boring On very rare occasions the participants interest may be piqued by an Embarrassing Slide that has accidentally gotten into the slideshow If the person is aware of how boring the presentation is they may utilize it as a form of Cool and Unusual PunishmentAn alternate variant is when a person simply shows someone their vacation photos which can be just as boring as a slideshowCompare Museum of Boredom and A Good OldFashioned Paint Watching for similar incredibly boring things that a person may be forced to go through SubTrope to Reel Torture,1367
Sympathetic Adulterer,Beverly You do understand our marriage ended because he had an affair Leonard I know and there— theres no excuse for that Beverly He claimed I was cold emasculating and hadnt shown him any physical affection for years Leonard mutters Well I was wrong theres three excuses for that— The Big Bang Theory The Convergence ConvergenceAlice and Bob are a married couple but Alice is growing dissatisfied with the relationship Maybe Bob isnt as attractive now as in the past Maybe Bob doesnt appreciate Alices friends and hobbies Maybe the passions just gone from the marriage Either way Alice meets Charlie whos everything Bob isnt and starts an affair Now we all know cheating is A Bad Thing so it follows that we arent supposed to side with Alice right WrongThere are many reasons why someone who cheats might be portrayed sympathetically Pay Cheating Unto Evil Their partners a hateful bastard who stifles or abuses the cheater Pay Cheating Unto Cheating Their partner is cheating themself in which case the cheating is a form of LaserGuided Karma Pay Cheating Unto Boring Their partner is boring and they want a more exciting lover or the marriage has gone on for too long and they want a change Pay Cheating Unto Bad Sex Their partner is asexual impotent or just plain bad at sex This can overlap with the first category if the adulterer wants someone who doesnt treat them as a sex object or is flat out raping them Pay Cheating Unto Normal Their partner is a Nice Guy or Romantic RunnerUp who just cant compete with the cheaters One True Love Pay Cheating Unto Incompatible Orientation Their partner is great its just that they are the wrong gender Pay Cheating Unto Absence Their partner is for whatever reasons out of the picture They may have been deployed overseas moved across the country to find themselves had to move for work and couldnt take their spouseSO with them theyre on a break or what have you Pay Cheating Unto Arranged Marriage Their partner was forced upon them by family and politics not someone they actually love or want to be with It may be that in this setting spouses are for keeping money and titles within the family and producing heirs while lovers are for pleasure and the two are mutually exclusive Pay Cheating Unto Fine With It For one reason or another the partner knows about the adultery and is perfectly okay with it If this goes really far it turns into polyamory instead Otherwise it might just be because the partner is too neglectful and inconsiderate to care Pay Cheating Unto Impossible Divorce The adulterer doesnt want to cheat but for whatever reason divorce isnt an option so cheating is the only way to have a happy relationship Pay Cheating Unto Various More than one of the aboveExactly how many of these reasons actually are that sympathetic depends on how much the audience goes along with the writing in most Real Life cases it would be pretty wretched to find out your partner was cheating on you just because you are boringnormalnot good in bed But whatever the reason if they cheat and are portrayed sympathetically then it fits the trope making it fall more on the Good side of Good Adultery Bad AdulteryCompare My Girl Is a Slut In a straight relationship Alice is more likely to be portrayed sympathetically than Bob The Unfair Sex is a Subtrope dealing with a Double Standard to do with this Mal Mariée is a specific subtrope when a young woman is unhappily married to a jealous older man and she often falls in love and cheats on him with a young loverContrast Ethical Slut where cheating usually isnt considered okay or sympathetic at all but affairs are not considered cheating as long as the communicationrelationship is openThis trope is subjective so No Real Life Examples Please,3746
